Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
my-way-EDP-tester,Armani My Way EDP,"Un bouquet floral éclatant de fleurs d'oranger et de tubéreuse d'Inde, soutenu par du cèdre et de la vanille. L'essence d'une féminité libre et curieuse.",Giorgio Armani,Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-161,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986832378-My_Way.jpg,active
gucci-bloom-tester,GUCCI - BLOOM EDP,"La tubéreuse et le jasmin se fondent avec la liane de Rangoon pour créer un sillage floral pur, poudré et profondément féminin. Un retour à l'authenticité.",Gucci,Floral Blanc,,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-269,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986831489-GUCCI_-_BLOOM_EDP.jpg,active
l-interdit-tester,Givenchy L'Interdit Parfum,Testeur authentique de L Interdit par Givenchy. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Givenchy,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-GIV-296,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986841692-L_Interdit.jpg,active
dior-poison-girl-eau-de-toilette-tester,Dior Poison Girl EDT,Une gourmandise insolente associant l'orange amère piquante à la sensualité de la fève tonka et de la rose de Grasse. Un parfum au charme sulfureux et addictif.,Dior,Ambré Vanillé,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-252,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986834228-Dior_Poison_Girl.jpg,active
gucci-bamboo-eau-de-toilette-tester,Gucci Bamboo for Women Eau de Toilette ,"Une harmonie délicate entre la fraîcheur de la bergamote, l'exotisme du lys de Casablanca et la rondeur du bois de santal. Une élégance douce et lumineuse.",Gucci,Floral Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-268,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986832857-Gucci_Bamboo_for_Women_Eau_de_Toilette.jpg,active
Qaaed-lattafa,Qaa'ed Lattafa,"Véritable hommage à la stature et au charisme (le mot Qaa'ed signifiant ""leader"" ou ""commandant"" en arabe), Qaa'ed de la maison Lattafa capture l'opulence pure des palais orientaux. Habillé d'un flacon cylindrique texturé couleur or étincelant, il évoque la puissance, la richesse des traditions et l'autorité naturelle.

Dès l'ouverture, la fragrance s'impose par un souffle chaud et magnétique où la cardamome aromatique et la cannelle se marient à un éclat subtil de bergamote. Le cœur révèle toute sa dimension royale à travers la préciosité du safran doré et du clou de girofle, sublimés par des bois de santal et de cèdre chaleureux. En fond, Qaa'ed dévoile une signature profonde et texturée de cuir noble, d'oud oriental et de vanille ambrée, laissant un sillage puissant, enveloppant et d'une remarquable persistance sur la peau.",Lattafa,Ambré Épicé,,,FALSE,Title,Default Title,REF-LAT-391,shopify,10,continue,manual,500,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1787675755146-344892675-qaaed_lattafa.jpg,draft
asad-lattafa,Lattafa Asad,"L'Histoire du Parfum — Longue Description

Lattafa Asad est une fragrance masculine intense et charismatique, conçue pour exprimer la puissance, la confiance et l'élégance. Son nom, Asad, signifie « lion » en arabe, une référence directe au caractère imposant et audacieux de cette composition.

Dès les premières vaporisations, Asad dévoile une ouverture épicée et surprenante. Le poivre noir apporte une sensation piquante et énergique, tandis que l’ananas ajoute une facette fruitée subtile. Le tabac vient immédiatement renforcer le caractère sombre, chaleureux et masculin de la fragrance.

Au cœur, la composition devient plus profonde et sophistiquée. Le café apporte une facette sombre, torréfiée et légèrement amère, tandis que le patchouli apporte une dimension terreuse et boisée. L’iris vient équilibrer l’ensemble avec une touche plus élégante et poudrée, créant un contraste entre puissance et raffinement.

En fond, Asad révèle toute sa richesse. L’ambre apporte chaleur et sensualité, tandis que la vanille enveloppe la composition d'une douceur crémeuse et addictive. Les bois secs renforcent son côté masculin et profond, accompagnés par le benjoin et le ciste (labdanum) qui ajoutent des nuances résineuses, balsamiques et chaleureuses.

Asad est un parfum qui ne cherche pas à passer inaperçu. Il s’adresse à l’homme qui assume sa présence, qui apprécie les fragrances puissantes et qui souhaite laisser derrière lui une empreinte olfactive mémorable.

Avec son équilibre entre épices, tabac, café, vanille, ambre et bois, Asad se révèle particulièrement séduisant lorsque les températures baissent. Il trouve naturellement sa place durant l’automne et l’hiver, notamment lors des soirées, rendez-vous, événements et occasions où une fragrance riche et imposante est de mise.

Lattafa Asad — Une présence forte. Une signature inoubliable.",Lattafa,Ambré Épicé,,,FALSE,Title,Default Title,REF-LAT-377,shopify,10,continue,manual,500,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1787672724118-178659599-asad_lattafa.jpg,draft
gucci-guilty-pour-homme-tester,Gucci Guilty Pour Homme,Une ouverture vivifiante de citron et de lavande contrastée par la sensualité profonde du bois de cèdre et du patchouli. Un magnétisme brut et audacieux.,Gucci,Boisé Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-273,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986834990-Gucci_Guilty_pour_homme.jpg,active
good-girl-tester,Carolina Herrira GOOD GIRL EDP,Le contraste saisissant entre la luminosité de la tubéreuse et l'obscurité addictive de la fève tonka et du cacao. Une arme de séduction logée dans son célèbre escarpin.,Carolina Herrera,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-CAR-267,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986838466-CAROLINA_HERRERA_GOOD_GIRL_Eau_de_Parfum.jpg,active
kayali-elixir-eau-de-parfum-tester,KAYALI - Elixir | 11,"Un sillage torride où la lavande aromatique se fond dans une fève tonka addictive, un benjoin sensuel et un accord tabac miellé. Extrêmement charismatique.",Kayali,Ambré Fougère,,"tester,nouveau",TRUE,Title,Default Title,REF-KAY-289,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986795119-Kayali_Elixir.jpg,active
guerlain-aqua-allegoria-herba-fresca-tester,Guerlain Aqua Allegoria Herba Fresca,"Le mariage inattendu du trèfle, de la menthe crépue et du thé vert. Une bouffée d'oxygène vivifiante, verte et incroyablement fraîche.",Guerlain,Aromatique Vert,,"tester,nouveau",TRUE,Title,Default Title,REF-GUE-276,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784028624755-305295637-Guerlain_Aqua_Allegoria_Herba_Fresca.jpg,active
gucci-flora-gorgeous-magnolia-eau-de-parfum-tester,Gucci Flora Gorgeous Magnolia,"L'essence de magnolia radieuse se mêle à l'accord mûre savoureux, reposant sur un sillage de patchouli sensuel. Une aura mystérieuse et joyeuse.",Gucci,Floral Fruité (Chypré),,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-271,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986795533-Gucci_Flora_Gorgeous_Magnolia.jpg,active
gucci-guilty-tester,Gucci Guilty,Testeur authentique de Gucci Guilty par Gucci. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Gucci,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-274,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986830067-Gucci_Guilty_femme.jpg,active
dolce-gabbana-the-one-eau-de-parfum-tester,Dolce Gabbana The One,"Un sillage opulent où la tubéreuse envoûtante rencontre la douceur du caramel et de la vanille. Une aura profondément sensuelle, mystérieuse et inoubliable.",Dolce & Gabbana,Oriental Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-DOL-113,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986790948-Dolce_Gabbana_The_One_Desire.jpg,active
amouage-epic-eau-de-parfum-tester,Amouage Epic Woman,"Un parfum boisé et profondément épicé qui évoque la puissance et le mystère de la Route de la Soie, mêlant la richesse du bois de oud et de l'encens à la chaleur des épices orientales.",Amouage,Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-AMO-064,shopify,,continue,manual,299,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027181744-655478207-amouage_epic_women.jpg,active
jpg-divine-tester,JEAN PAUL GAULTIER GAULTIER DIVINE,"Une tension inédite entre un majestueux bouquet de lys, la gourmandise d'une meringue aérienne et un frisson d'air iodé. Divinement addictif.",Jean Paul Gaultier,Floral Gourmand Marin,,"tester,nouveau",TRUE,Title,Default Title,REF-JEA-287,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986805002-Jpg_Divine.jpg,active
joy-dior-tester,Joy Dior,"Le sourire éclatant des fleurs (rose, jasmin) et des hespérides, complété par la caresse onctueuse des bois de santal et la sérénité des muscs. Limpide et enveloppant.",Dior,Floral Boisé Musqué,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-286,shopify,10,continue,manual,299,489,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986840437-Joy_Dior.jpg,active
miss-dior-eau-de-parfum-tester,Miss Dior PARFUM,Un chypre moderne et opulent où le jasmin étoilé rencontre la gourmandise de la fraise des bois et la profondeur boisée du patchouli. Somptueux et charnel.,Dior,Chypré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-302,shopify,9,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029115159-214358233-Miss_Dior_parfum.jpg,active
kayali-yum-boujee-marshmallow-81-tester,Kayali Yum Boujee Marshmallow 81,Testeur authentique de Kayali Yum Boujee Marshmallow 81 par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Kayali,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-KAY-293,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986844050-Kayali_Yum_Boujee_Marshmallow_81.jpg,active
kayali-vanilla-candy-rock-sugar-42-tester,Kayali Vanilla Candy Rock Sugar 42,Testeur authentique de Kayali Vanilla Candy Rock Sugar 42 par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Kayali,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-KAY-291,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986842132-Kayali_Vanilla_Candy_Rock_Sugar_42.jpg,active
gucci-flora-gorgeous-orchid-tester,Gucci Flora Gorgeous Orchid,Une dualité envoûtante entre la chaleur enveloppante de la vanille et la fraîcheur ozonique éclatante de l'orchidée. Un contraste fascinant et onirique.,Gucci,Floral Gourmand,,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-272,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986842664-Gucci_Flora_Gorgeous_Orchid.jpg,active
acqua-di-gio-eau-de-toilette-giorgio-armani-tester,Armani Acqua Di Gio Giorgio EDT,Testeur authentique de Acqua Di Gio Giorgio Armani par Giorgio Armani. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Giorgio Armani,Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-061,shopify,10,continue,manual,299,400,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027306532-963881405-acqua_di_gio_pour_homme.jpg,active
coco-mademoiselle-eau-privee-tester,Chanel Coco Mademoiselle Eau Privee,"Une version délicate et confidentielle, conçue comme un voile de douceur pour la nuit. Les notes vibrantes d'orange s'adoucissent dans un murmure de jasmin et de musc blanc.",Chanel,Oriental Floral (Doux),,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-241,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986814180-Coco_Mademoiselle_Eau_Privee.jpg,active
versace-bright-crystal-tester,Versace Bright Crystal Parfum,"Une version intensifiée du classique, où le yuzu givré et la grenade éclatante subliment un bouquet riche de pivoine et de magnolia, sur un fond de muscs vibrants.",Versace,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-VER-340,shopify,10,continue,manual,299,449,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986836864-Versace_Bright_Crystal.jpg,active
narciso-rodriguez-poudree-eau-de-parfum-tester,Narciso Rodriguez Narciso Poudrée EDP,Une caresse olfactive où le jasmin blanc et la rose bulgare fondent dans un musc intensément poudré et un fond de vétiver chaleureux. Un concentré de tendresse.,Narciso Rodriguez,Boisé Floral Musqué,,"tester,nouveau",TRUE,Title,Default Title,REF-NAR-311,shopify,10,continue,manual,349,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986845018-Narciso_Rodriguez_Poudree.jpg,active
si-fiori-tester,Armani Si Fiori EDP,"Une réinterprétation poudrée du classique, où le nectar de cassis se fond dans un cœur de néroli éclatant et de musc blanc. Une déclaration de grâce et d'assurance.",Giorgio Armani,Chypré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-179,shopify,10,continue,manual,299,400,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986845937-Si_Fiori.jpg,active
si-fiori-tester,,,,,,,,,,,,,,,,,,,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986846228-Si.jpg,
lost-cherry-tester,Lost Cherry EDP,"Une cerise noire voluptueuse plongée dans un sirop de griotte et de liqueur d'amande amère, enrichie par le baume du Pérou et la fève tonka. Une addiction opulente.",Tom Ford,Ambré Floral Gourmand,,"tester,nouveau",TRUE,Title,Default Title,REF-TOM-300,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986845440-Lost_Cherry.jpg,active
armani-power-of-you,Armani Power Of You,"Power of You par Emporio Armani est un manifeste olfactif dédié à la femme contemporaine, libre et consciente de son pouvoir d'attraction. Capturé dans un flacon aux courbes épurées révélant un élixir d'un rose ardent, ce parfum incarne l'alliance parfaite entre la douceur passionnée et une force de caractère inébranlable.

L'histoire s'ouvre sur une explosion fruitée et audacieuse, menée par des notes de cerise noire et de framboise vibrante qui saisissent instantanément les sens. En son cœur, la fragrance dévoile une féminité haut de gamme et sophistiquée où la majesté de la rose s'entrelace à la luminosité du jasmin. Enfin, le sillage évolue vers une profondeur hautement addictive, portée par un patchouli moderne et une vanille charnelle.",Giorgio Armani,Floral,,,TRUE,Title,Default Title,REF-ARM-356,shopify,10,continue,manual,329,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784388354481-23421655-power_of_you.jpg,active
miss-dior-le-parfum-tester,Miss Dior EDP,Testeur authentique de Miss Dior par Dior. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Dior,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-303,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029143395-968041234-Miss_Dior_edp.jpg,active
delina-edp-tester,Parfums De Marly Delina EDP,Testeur authentique de Delina Edp par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Parfums de Marly,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-PAR-246,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029314051-827995796-Delina_edp.jpg,active
DOLCE-GABBANA-LIGHT-BLUE-POUR-HOMME-EDT,Dolce & Gabbana Light Blue pour Homme EDT,"Light Blue Pour Homme capture la fraîcheur pure, le magnétisme et la joie de vivre de la mer Méditerranée. Véritable ode aux paysages ensoleillés et sauvages de Capri, cette eau de toilette iconique incarne le charme naturel et la sensualité d'un homme moderne, athlétique et sûr de lui.

L'histoire olfactive s'ouvre sur un cocktail d'agrumes givrés ultra-dynamiques, où le pamplemousse et la mandarine de Sicile fusionnent pour apporter une fraîcheur fusante et instantanée. En son cœur, la fragrance gagne en relief et en tempérament grâce à la tension du poivre du Sichuan et à l'élégance aromatique du romarin. Enfin, le sillage évolue vers une profondeur masculine plus sensuelle et enveloppante, ancrée dans un fond de bois précieux, de muscs et d'encens.",Dolce & Gabbana,Aromatique,,,TRUE,Title,Default Title,REF-DOL-358,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784388963438-844278620-DOLCE_GABBANA_-_LIGHT_BLUE_POUR_HOMME_EDT.jpg,active
delina-royal-essence-parfums-de-marly-tester,Parfums De Marly Delina Royal Essence ,"L'expression pure de la noblesse olfactive de Marly, sublimant la rose, le muguet et la pivoine dans un sillage poudré de musc et de bois. L'incarnation du raffinement.",Parfums de Marly,Floral Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-PAR-249,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986826469-Delina_Royal_Essence_Parfums_De_Marly.jpg,active
narciso-rodriguez-for-her-eau-de-parfum-tester,Narciso Rodriguez For Her EDP,Testeur authentique de Narciso Rodriguez For Her par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Narciso Rodriguez,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-NAR-308,shopify,7,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029228394-822044100-Narciso_Rodriguez_For_Her_EDP.jpg,active
Lattafa-Fakhar,Lattafa Fakhar,"Lattafa Fakhar Black est une fragrance masculine élégante et contemporaine qui associe fraîcheur aromatique, notes fruitées et profondeur boisée. Son caractère raffiné et polyvalent en fait un parfum idéal pour l’homme qui recherche une signature olfactive propre, sophistiquée et assurée.

Dès les premières vaporisations, Fakhar Black dévoile une ouverture fraîche et dynamique où la pomme apporte une facette fruitée et légèrement croquante. La bergamote ajoute une fraîcheur agrumée lumineuse, tandis que le gingembre apporte une touche épicée et énergisante. Cette ouverture donne immédiatement au parfum une impression moderne, propre et vivifiante.

Au cœur, la composition devient plus aromatique et sophistiquée. La lavande apporte une élégance propre et légèrement florale, accompagnée par la sauge et les baies de genièvre, qui renforcent son caractère frais et aromatique. Le géranium ajoute une dimension florale masculine et contribue à créer un cœur équilibré et élégant.

Après plusieurs heures, Fakhar Black révèle un fond plus chaleureux et boisé. La fève tonka apporte une douceur légèrement vanillée et amandée, tandis que l’ambre enveloppe la peau d’une chaleur subtile. Le cèdre renforce la structure boisée du parfum et le vétiver apporte une facette terreuse, sèche et raffinée.

L’ensemble crée une fragrance élégante, masculine et polyvalente, capable de s’adapter aussi bien à une journée professionnelle qu’à une sortie ou une occasion spéciale. Son équilibre entre fraîcheur, aromatiques et bois lui permet de rester agréable tout en développant progressivement une présence plus chaleureuse sur la peau.

Lattafa Fakhar Black est ainsi une signature olfactive destinée à l’homme qui privilégie la confiance, la sobriété et l’élégance moderne. Une fragrance facile à porter, raffinée et suffisamment distinctive pour accompagner le quotidien comme les moments importants.

Fakhar Black — L’élégance qui s’impose naturellement.",Lattafa,Aromatique Fougère,,,FALSE,Title,Default Title,REF-LAT-378,shopify,10,continue,manual,500,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1787673091509-793709807-fakhar_lattafa.jpg,draft
amouage-epic-1-tester,Amouage Epic,"Une rose de Taïf dramatique et somptueuse, enveloppée de thé noir corsé et d'un fond chaud d'ambre. Un parfum captivant d'une opulence rare.",Amouage,Chypré Oriental,,"tester,nouveau",TRUE,Title,Default Title,REF-AMO-063,shopify,,continue,manual,299,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027153732-843574297-amouage_epic.jpg,active
dolce-gabbana-Q-queen-tester,DOLCE & GABBANA - Q  Eau de Parfum ,"La vivacité du citron de Sicile et la douceur de la cerise rencontrent un fond boisé affirmé de cèdre. Un parfum audacieux, royal et passionné.",Dolce & Gabbana,Aromatique Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-DOL-114,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784030511933-969720518-DOLCE_GABBANA_-_Q_BY_D_G_EDP.jpg,active
prada-paradoxe-radical-essence-eau-de-parfum-tester,Prada Paradoxe Radical Essence,"Un bouquet avant-gardiste de fleurs blanches (néroli, jasmin) bousculé par l'innovation de l'Ambrofix et du musc blanc Serenolide. Lumineux et réconfortant.",Prada,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-PRA-321,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029492330-413997900-Prada_Paradoxe_Radical_Essence.jpg,active
paco-rabanne-one-million-royal-eau-de-parfum-tester,Paco Rabanne One Million Royal,La fraîcheur éclatante de la lavande heurte la puissance du bois de cèdre et la sensualité enveloppante du benjoin. Une signature royale et provocante.,Paco Rabanne,Ambré Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-PAC-317,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029291009-106233450-Paco_Rabanne_One_Million_Royal.jpg,active
irresistible-nude-velvet-tester,Givenchy IRRESISTIBLE NUDE VELVET Eau De Parfum,"Le contraste magnétique entre une rose pulpeuse et lumineuse et un bois de cèdre blond réconfortant. Une fragrance anti-morosité, pétillante et libre.",Givenchy,Floral Fruité Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-GIV-283,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986797249-Irresistible_Nude_Velvet.jpg,active
guerlain-mon-guerlain-eau-de-parfum-tester,Guerlain Mon Guerlain,"Une composition audacieuse mariant la lavande de Provence, la vanille Tahitensis majestueuse, le jasmin Sambac et le bois de santal. Lumineux et réconfortant.",Guerlain,Ambré Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-GUE-281,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986839315-Guerlain_Mon_Guerlain.jpg,active
tom-ford-fabulous-tester,Tom Ford Fabulous EDP,"Un accord percutant d'amande amère et de fève tonka qui fusionne avec un cuir riche, de l'iris et de la sauge sclarée. Un parfum explicite, exclusif et décadent.",Tom Ford,Cuir,,"tester,nouveau",TRUE,Title,Default Title,REF-TOM-332,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029540953-773082225-Tom_Ford_Fabulous.jpg,active
kayali-burning-cherry-eau-de-parfum-tester,Kayali Lovefest Burning Cherry | 48,"Une cerise noire succulente, relevée de praline sucrée, qui s'enflamme au contact du bois de palo santo fumé et du gaïac. Irrésistiblement chaleureux.",Kayali,Ambré Boisé Gourmand,,"tester,nouveau",TRUE,Title,Default Title,REF-KAY-288,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986800207-Kayali_Burning_Cherry.jpg,active
la-petite-robe-noire-tester,La Petite Robe Noire,"L'accord iconique de cerise noire et d'amande s'enveloppe de la rose de Grasse, du patchouli et de la fève tonka. Un classique à la fois glamour et espiègle.",Guerlain,Ambré Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-GUE-297,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986850363-La_Petite_Robe_Noire.jpg,active
tom-ford-rose-prick-eau-de-parfum-tester,Tom Ford Rose Prick EDP,"Un triptyque majestueux de roses (Mai, Turque, Bulgare) aiguisé par le poivre du Sichuan, le curcuma et un fond de patchouli. Sauvagement floral et envoûtant.",Tom Ford,Chypré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-TOM-334,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029574498-87499396-Tom_Ford_Rose_Prick.jpg,active
tiziana-terenzi-gumin-extrait-de-parfum-tester,Tiziana Terenzi Gumin Extrait De Parfum,Testeur authentique de Tiziana Terenzi Gumin Extrait De Parfum par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Tiziana Terenzi,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-TIZ-330,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029515563-884067658-Tiziana_Terenzi_Gumin_Extrait_De_Parfum.jpg,active
montale-oud-tobacco-tester,Montale Oud Tobacco,Testeur authentique de Montale Oud Tobacco par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Montale,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-MON-304,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986849440-Montale_Oud_Tobacco.jpg,active
paco-rabanne-1-million-le-parfum-tester,Paco Rabanne 1 Million Parfum,"Une dualité audacieuse entre l'énergie salée de la tubéreuse et l'intensité d'un cuir brûlé par le soleil, le tout rafraîchi par du pin. Solaire, riche et opulent.",Paco Rabanne,Cuir Floral Solaire,,"tester,nouveau",TRUE,Title,Default Title,REF-PAC-314,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986839794-Paco_Rabanne_1_Million.jpg,active
victoria-s-secret-bombshell-tester,VICTORIA'S SECRET BOMBSHELL EDP,"Un cocktail joyeux et iconique mêlant la vivacité du fruit de la passion violet à la pivoine Shangri-la et à l'orchidée vanille. Pétillant, frais et confiant.",Victoria's Secret,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-VIC-343,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029686483-558138717-Victoria_S_Secret_Bombshell.jpg,active
versace-eros-parfum-tester,Versace Eros Parfum,Testeur authentique de Versace Eros par Versace. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Versace,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-VER-342,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029665763-280310369-Versace_Eros.jpg,active
